HomeTeam,AwayTeam,GoalDifference
15,28,1
23,48,1
36,27,1
16,4,0
0,30,-2
22,1,0
18,37,0
38,43,0
14,32,0
31,25,1
26,34,0
4,0,1
48,22,-1
43,15,-2
25,36,1
1,23,0
32,16,0
28,26,2
30,14,1
34,38,2
27,18,-3
37,31,2
43,16,0
48,15,-1
4,26,1
30,18,0
37,14,0
27,22,0
1,38,0
28,23,3
34,36,1
32,31,2
25,0,-2
38,27,-1
36,48,0
22,25,0
16,37,0
23,43,5
18,1,1
26,30,2
0,32,2
15,34,-1
14,4,0
36,1,-2
31,27,-2
38,28,1
16,30,-1
26,32,0
14,34,1
0,37,1
15,4,-2
18,48,0
23,25,0
22,43,0
30,31,2
28,22,0
48,26,-1
25,38,0
32,23,0
27,16,1
37,15,-1
34,0,0
43,36,2
1,14,-2
30,38,1
32,15,-1
37,26,-3
48,0,1
28,36,2
34,22,0
4,31,3
1,16,3
43,18,1
25,14,1
27,23,2
16,32,0
26,28,-1
18,27,-2
14,30,-1
38,34,-1
22,48,1
0,4,-1
36,25,1
31,37,-1
23,1,0
15,43,1
4,18,-1
48,4,0
43,27,0
30,37,1
1,25,2
32,22,2
36,0,0
34,28,0
18,16,-2
38,23,0
26,14,-1
31,15,0
4,32,2
27,34,0
22,36,0
25,48,-1
23,18,2
28,1,-1
14,31,0
16,38,-1
15,30,0
37,43,2
0,26,1
26,31,0
28,27,0
0,14,1
36,38,2
15,16,0
48,1,-1
34,43,3
25,37,1
22,23,2
4,30,6
32,18,1
23,36,2
18,15,0
16,26,0
43,28,0
30,34,1
37,32,1
38,48,0
14,22,1
31,0,-1
27,25,0
1,4,0
31,28,1
28,37,0
4,27,0
48,43,0
22,16,0
34,23,1
36,31,0
15,14,-1
32,1,0
26,38,1
0,18,2
25,30,3
31,22,-1
30,28,0
27,48,-1
14,36,-1
18,26,-2
38,32,1
43,25,2
37,4,0
23,15,0
1,34,2
16,0,-1
31,18,-1
25,28,3
22,38,0
0,15,3
14,16,2
26,23,4
4,43,-2
48,34,-2
1,27,1
36,37,0
32,30,-1
15,26,-1
16,31,0
37,22,0
27,32,3
30,36,1
43,1,0
23,0,3
18,14,-1
28,48,2
34,25,-1
38,4,0
32,28,3
4,34,1
0,27,-1
1,30,-1
48,37,0
22,18,1
36,15,0
26,43,-1
25,16,5
31,38,-1
14,23,1
23,31,-3
16,36,2
38,0,2
15,22,0
43,14,-1
34,32,1
28,4,1
37,1,-1
30,48,1
27,26,1
18,25,1
28,14,0
36,18,1
34,16,-2
23,37,2
43,0,1
27,30,1
38,15,0
1,31,1
22,26,2
48,32,3
25,4,1
32,43,1
4,36,1
18,38,1
14,27,0
15,25,4
26,1,0
37,34,1
0,28,0
16,23,1
31,48,0
30,22,-2
16,48,2
0,22,0
15,1,3
14,38,0
26,36,2
37,27,0
30,43,0
4,23,2
18,28,0
28,16,-1
34,18,2
1,0,1
25,26,0
38,37,-1
27,15,5
48,14,0
22,4,1
23,30,0
43,31,1
0,36,0
16,18,-2
14,26,-2
27,43,3
15,31,-1
23,38,1
22,32,-1
28,34,-1
4,48,0
25,1,-1
37,30,1
31,14,3
36,22,3
32,4,-1
30,15,0
48,25,2
43,37,-2
38,16,1
18,23,2
26,0,-1
1,28,4
34,27,-2
15,32,3
4,15,-3
32,26,-1
48,18,-2
28,38,1
30,16,2
43,22,-2
27,31,2
1,36,2
34,14,0
26,4,1
15,48,-2
31,32,2
38,1,2
36,34,-1
14,37,-2
18,30,-1
22,27,1
16,43,-2
23,28,3
0,25,-1
4,16,-1
34,26,0
32,14,2
25,31,0
27,36,1
1,22,2
37,18,2
28,15,-2
48,23,1
43,38,2
23,27,0
36,28,2
22,34,0
16,1,1
0,48,-1
18,43,-1
14,25,0
38,30,3
38,25,1
23,32,2
14,1,-1
27,38,1
25,22,0
28,31,-1
32,0,-1
43,23,4
1,18,1
34,15,2
48,36,2
37,16,1
30,26,1
4,14,2
36,32,2
26,37,-1
31,34,1
0,23,0
18,32,0
38,36,1
43,34,1
1,48,1
27,28,3
31,26,-2
23,22,1
16,15,0
37,25,0
30,4,0
14,0,1
22,28,-1
36,43,6
30,0,0
15,37,1
18,4,1
31,16,0
48,38,-1
34,30,2
25,27,-1
15,18,-1
4,38,0
48,28,2
32,27,1
26,15,1
25,34,1
1,43,0
36,30,-1
14,18,1
22,37,-1
15,0,-2
34,48,-1
30,32,1
38,22,1
23,26,1
18,31,3
28,25,-1
27,1,0
16,14,0
31,30,-3
22,15,0
25,18,1
0,38,1
1,37,2
48,30,3
26,27,0
32,34,0
14,43,0
36,16,-1
4,28,0
31,23,0
28,32,-1
16,25,0
43,26,2
15,36,-2
27,0,0
30,1,1
18,22,3
23,14,0
38,31,-1
34,4,-3
37,48,0
15,38,2
4,25,3
26,22,2
16,34,0
32,48,4
14,28,4
31,1,-1
30,27,-2
22,14,0
36,23,1
28,0,1
31,4,-2
32,37,0
36,26,0
48,16,4
43,30,4
1,15,0
34,31,1
38,14,1
25,32,1
28,18,-1
27,37,1
23,4,3
22,0,-1
26,25,0
16,28,3
0,1,-1
4,22,1
18,34,-2
15,27,-1
14,48,2
37,38,3
31,43,1
30,23,2
32,36,0
43,32,3
25,15,4
27,14,3
36,4,-2
38,18,0
23,16,0
48,31,1
1,26,2
22,30,2
28,43,3
25,23,2
26,48,0
16,27,-2
4,1,3
0,31,0
37,36,0
23,34,0
37,28,-1
14,15,1
30,25,1
16,22,2
31,36,-2
18,0,0
43,48,0
38,26,-1
1,32,-1
27,4,2
0,34,0
18,36,-2
37,23,0
32,25,1
26,16,0
43,4,-1
37,0,1
0,16,3
22,31,1
28,30,0
25,43,4
36,14,2
26,18,-3
4,37,1
32,38,1
15,23,0
48,27,-1
34,1,1
0,43,-2
34,37,2
25,37,2
14,4,-1
1,34,3
32,22,-3
0,15,-3
26,23,0
29,43,-1
36,42,2
38,18,-2
46,48,-2
30,27,-2
43,0,-1
48,14,0
23,46,1
22,38,1
18,26,1
27,36,3
37,1,0
4,30,-1
42,32,-1
15,29,1
34,25,-2
48,1,0
22,14,1
27,29,0
15,46,0
37,0,-1
23,30,-4
34,38,1
18,36,2
4,32,1
43,26,1
42,25,-5
1,27,-1
36,48,1
0,23,1
32,15,0
26,4,-2
46,37,2
25,43,-1
14,34,2
30,22,1
38,42,4
29,18,1
26,15,0
32,48,0
25,23,2
1,43,1
0,18,2
14,37,0
38,27,-2
46,34,-4
30,42,0
36,22,0
29,4,0
18,1,-1
22,29,0
48,38,1
23,32,1
15,25,1
27,46,3
42,26,-2
43,14,0
37,30,0
4,0,0
34,36,1
0,22,4
30,48,-1
26,34,3
14,27,1
32,18,-1
1,15,0
46,42,0
36,43,0
38,23,-2
25,4,-1
29,37,2
4,46,-2
43,32,5
34,30,0
42,29,0
23,36,1
15,14,0
22,1,-1
18,25,2
37,38,2
27,0,1
48,26,1
29,46,2
0,38,1
36,26,-1
18,30,-4
27,42,2
32,1,0
15,23,-2
14,25,1
4,37,0
22,43,0
48,34,0
30,15,1
46,14,1
42,4,-2
1,29,-2
25,0,0
23,48,4
37,27,-1
38,36,0
34,22,3
43,18,1
26,32,0
14,30,-1
15,38,0
25,32,1
42,18,0
46,1,0
37,48,0
27,43,1
29,34,-1
0,26,0
22,23,0
4,36,0
32,0,0
1,14,1
43,42,0
26,25,0
30,46,0
36,37,0
34,15,4
18,27,-1
23,4,0
38,29,1
48,22,-2
27,34,1
14,32,-1
0,30,0
29,48,4
4,43,1
42,1,-1
25,38,2
22,18,-2
37,23,0
15,36,0
46,26,2
22,37,-3
38,43,1
34,4,1
0,1,-1
15,18,1
36,30,-1
23,14,3
25,46,2
48,42,3
26,27,-1
32,29,-2
1,36,1
4,38,2
46,32,2
14,0,-2
30,26,0
27,48,2
18,34,-3
42,22,0
43,23,0
37,15,0
29,25,3
14,26,0
4,15,1
18,23,0
46,0,0
42,34,1
1,38,-2
37,32,3
27,22,0
29,36,4
43,48,0
48,18,0
0,29,1
32,30,1
26,37,-2
23,42,3
36,14,1
15,27,-1
22,4,1
34,43,0
25,1,1
38,46,-2
27,30,0
43,29,-1
48,46,-1
37,25,2
18,38,1
15,0,1
23,26,1
42,36,0
22,32,0
34,1,0
4,14,2
0,43,0
36,27,-3
32,42,1
46,23,-1
25,34,1
38,22,-1
26,18,1
1,37,0
38,34,-1
46,15,1
36,18,0
29,27,0
1,48,-1
32,4,-1
14,22,0
26,43,-2
25,42,0
0,37,1
30,23,1
23,0,1
43,25,0
18,29,-2
15,32,0
42,38,1
4,26,2
37,46,5
48,36,2
22,30,1
27,1,2
29,23,0
36,25,0
48,15,-1
27,4,0
43,30,-2
22,46,0
34,32,2
38,14,2
18,37,-2
42,0,-4
