HomeTeam,AwayTeam,HomeGoals,AwayGoals
15,28,2,1
23,48,2,1
36,27,2,1
16,4,3,3
0,30,2,4
22,1,1,1
18,37,1,1
38,43,0,0
14,32,1,1
31,25,1,0
26,34,1,1
4,0,1,0
48,22,0,1
43,15,0,2
25,36,2,1
1,23,1,1
32,16,1,1
28,26,2,0
30,14,2,1
34,38,3,1
27,18,0,3
37,31,2,0
43,16,2,2
48,15,1,2
4,26,1,0
30,18,1,1
37,14,3,3
27,22,1,1
1,38,1,1
28,23,4,1
34,36,3,2
32,31,5,3
25,0,0,2
38,27,0,1
36,48,2,2
22,25,2,2
16,37,1,1
23,43,5,0
18,1,1,0
26,30,3,1
0,32,2,0
15,34,0,1
14,4,0,0
36,1,0,2
31,27,0,2
38,28,2,1
16,30,1,2
26,32,3,3
14,34,1,0
0,37,2,1
15,4,0,2
18,48,0,0
23,25,2,2
22,43,1,1
30,31,3,1
28,22,2,2
48,26,0,1
25,38,1,1
32,23,2,2
27,16,1,0
37,15,1,2
34,0,0,0
43,36,2,0
1,14,1,3
30,38,1,0
32,15,0,1
37,26,0,3
48,0,3,2
28,36,2,0
34,22,0,0
4,31,4,1
1,16,3,0
43,18,2,1
25,14,2,1
27,23,2,0
16,32,2,2
26,28,0,1
18,27,0,2
14,30,2,3
38,34,1,2
22,48,2,1
0,4,0,1
36,25,1,0
31,37,1,2
23,1,1,1
15,43,1,0
4,18,2,3
48,4,1,1
43,27,1,1
30,37,1,0
1,25,4,2
32,22,4,2
36,0,1,1
34,28,3,3
18,16,0,2
38,23,1,1
26,14,0,1
31,15,1,1
4,32,2,0
27,34,0,0
22,36,0,0
25,48,2,3
23,18,2,0
28,1,2,3
14,31,0,0
16,38,1,2
15,30,1,1
37,43,2,0
0,26,1,0
26,31,2,2
28,27,1,1
0,14,2,1
36,38,2,0
15,16,2,2
48,1,2,3
34,43,4,1
25,37,1,0
22,23,4,2
4,30,7,1
32,18,1,0
23,36,3,1
18,15,1,1
16,26,0,0
43,28,2,2
30,34,2,1
37,32,2,1
38,48,2,2
14,22,2,1
31,0,0,1
27,25,2,2
1,4,0,0
31,28,1,0
28,37,1,1
4,27,0,0
48,43,1,1
22,16,2,2
34,23,2,1
36,31,0,0
15,14,1,2
32,1,1,1
26,38,1,0
0,18,2,0
25,30,4,1
31,22,0,1
30,28,1,1
27,48,0,1
14,36,1,2
18,26,1,3
38,32,1,0
43,25,2,0
37,4,0,0
23,15,2,2
1,34,2,0
16,0,1,2
31,18,0,1
25,28,4,1
22,38,0,0
0,15,3,0
14,16,3,1
26,23,4,0
4,43,0,2
48,34,0,2
1,27,1,0
36,37,1,1
32,30,2,3
15,26,2,3
16,31,1,1
37,22,1,1
27,32,3,0
30,36,2,1
43,1,0,0
23,0,3,0
18,14,0,1
28,48,2,0
34,25,0,1
38,4,1,1
32,28,4,1
4,34,1,0
0,27,0,1
1,30,2,3
48,37,1,1
22,18,1,0
36,15,1,1
26,43,0,1
25,16,5,0
31,38,1,2
14,23,1,0
23,31,1,4
16,36,2,0
38,0,2,0
15,22,2,2
43,14,1,2
34,32,3,2
28,4,3,2
37,1,1,2
30,48,2,1
27,26,2,1
18,25,2,1
28,14,0,0
36,18,1,0
34,16,1,3
23,37,3,1
43,0,1,0
27,30,1,0
38,15,2,2
1,31,2,1
22,26,3,1
48,32,5,2
25,4,2,1
32,43,2,1
4,36,1,0
18,38,2,1
14,27,1,1
15,25,5,1
26,1,1,1
37,34,1,0
0,28,1,1
16,23,1,0
31,48,1,1
30,22,0,2
16,48,2,0
0,22,0,0
15,1,3,0
14,38,1,1
26,36,2,0
37,27,3,3
30,43,0,0
4,23,3,1
18,28,2,2
28,16,0,1
34,18,4,2
1,0,1,0
25,26,1,1
38,37,1,2
27,15,5,0
48,14,0,0
22,4,2,1
23,30,0,0
43,31,2,1
0,36,1,1
16,18,0,2
14,26,2,4
27,43,4,1
15,31,0,1
23,38,2,1
22,32,1,2
28,34,0,1
4,48,0,0
25,1,1,2
37,30,1,0
31,14,3,0
36,22,3,0
32,4,0,1
30,15,1,1
48,25,2,0
43,37,0,2
38,16,1,0
18,23,2,0
26,0,0,1
1,28,5,1
34,27,1,3
15,32,3,0
4,15,2,5
32,26,0,1
48,18,1,3
28,38,2,1
30,16,4,2
43,22,0,2
27,31,2,0
1,36,3,1
34,14,1,1
26,4,3,2
15,48,0,2
31,32,2,0
38,1,2,0
36,34,1,2
14,37,0,2
18,30,0,1
22,27,2,1
16,43,1,3
23,28,3,0
0,25,0,1
4,16,1,2
34,26,1,1
32,14,3,1
25,31,0,0
27,36,2,1
1,22,2,0
37,18,3,1
28,15,0,2
48,23,1,0
43,38,4,2
23,27,0,0
36,28,2,0
22,34,1,1
16,1,1,0
0,48,0,1
18,43,1,2
14,25,0,0
38,30,3,0
38,25,2,1
23,32,2,0
14,1,0,1
27,38,2,1
25,22,0,0
28,31,1,2
32,0,0,1
43,23,4,0
1,18,2,1
34,15,2,0
48,36,2,0
37,16,2,1
30,26,2,1
4,14,2,0
36,32,2,0
26,37,1,2
31,34,1,0
0,23,0,0
18,32,2,2
38,36,3,2
43,34,3,2
1,48,1,0
27,28,3,0
31,26,0,2
23,22,1,0
16,15,0,0
37,25,1,1
30,4,0,0
14,0,1,0
22,28,0,1
36,43,6,0
30,0,1,1
15,37,1,0
18,4,2,1
31,16,1,1
48,38,1,2
34,30,3,1
25,27,1,2
15,18,0,1
4,38,0,0
48,28,2,0
32,27,1,0
26,15,1,0
25,34,1,0
1,43,0,0
36,30,0,1
14,18,2,1
22,37,0,1
15,0,0,2
34,48,1,2
30,32,1,0
38,22,4,3
23,26,1,0
18,31,3,0
28,25,1,2
27,1,1,1
16,14,1,1
31,30,0,3
22,15,0,0
25,18,1,0
0,38,4,3
1,37,2,0
48,30,3,0
26,27,1,1
32,34,2,2
14,43,1,1
36,16,0,1
4,28,1,1
31,23,1,1
28,32,2,3
16,25,1,1
43,26,3,1
15,36,1,3
27,0,0,0
30,1,1,0
18,22,3,0
23,14,1,1
38,31,1,2
34,4,0,3
37,48,1,1
15,38,2,0
4,25,4,1
26,22,3,1
16,34,1,1
32,48,6,2
14,28,4,0
31,1,0,1
30,27,1,3
22,14,1,1
36,23,2,1
28,0,1,0
31,4,1,3
32,37,1,1
36,26,1,1
48,16,4,0
43,30,5,1
1,15,0,0
34,31,4,3
38,14,1,0
25,32,1,0
28,18,1,2
27,37,2,1
23,4,5,2
22,0,1,2
26,25,1,1
16,28,4,1
0,1,0,1
4,22,2,1
18,34,3,5
15,27,0,1
14,48,4,2
37,38,5,2
31,43,2,1
30,23,4,2
32,36,1,1
43,32,4,1
25,15,4,0
27,14,3,0
36,4,1,3
38,18,0,0
23,16,0,0
48,31,1,0
1,26,3,1
22,30,3,1
28,43,3,0
25,23,2,0
26,48,1,1
16,27,0,2
